Company,Type,Series,URL,B2B vs B2C,Location
Cargoloc,325d,INV414,,,
COMA.SITE,4800a,INV468,,,
Wing Legal,4800a,INV580,,,
Mosaic,501c,INV589,,,
KALAE,325d,INV530,,,
T3N Sport & Investment,501c,INV489,,,
Cardboard,325d,INV486,,,
TryOns,501c,INV543,,,
CAURUS Technologies,325d,INV581,,,
University of Cambridge,4800a,INV513,,,
Circulaire,325d,INV569,,,
Kognic,325d,INV420,,,
spektr (still in stealth),501c,INV584,,,
Augmetec,4800a,INV514,,,
Walor,501c,INV429,,,
Entrepreneur First,4800a,INV439,,,
Elyn,501c,INV482,,,
Bridgewise,4800a,INV457,,,
Forloop.ai,325d,INV420,,,
London Ethno-Tech Collective,501c,INV454,,,
Valon,501c,INV597,,,
SAI-Intelligence,4800a,INV406,,,
LinkedIn,501c,INV541,,,
Valused,501c,INV411,,,
Gumbo,501c,INV499,,,
Hektar,325d,INV470,,,
Overscale Solutions Oy,4800a,INV510,,,
AudioStrip,4800a,INV547,,,
VR2all,325d,INV409,,,
NÉA,4800a,INV428,,,
Salesforce,325d,INV533,,,
OrthographIQ,4800a,INV564,,,
PwC UK,501c,INV459,,,
ZINC,4800a,INV412,,,
Happiworkers,4800a,INV596,,,
IMPACT Commerce,501c,INV406,,,
Cence,501c,INV475,,,
coordi,501c,INV486,,,
Phaze bike,4800a,INV456,,,
Revibe,325d,INV503,,,
Vaisselle Chérie,4800a,INV434,,,
some frogs,4800a,INV493,,,
ESG Stream,325d,INV457,,,
The Reg3 Conference,4800a,INV449,,,
Papapéro,4800a,INV493,,,
The Digital Leaders Fund,325d,INV403,,,
STEMaccess,325d,INV562,,,
Unity,4800a,INV423,,,
Juicebox,4800a,INV406,,,
ALTEN,501c,INV523,,,
Heverton Partners,325d,INV499,,,
Boonty,4800a,INV411,,,
Deepen,501c,INV512,,,
MEANING AT WORK,501c,INV568,,,
NotSoLiquid,325d,INV543,,,
Tokenshelf GmbH,4800a,INV549,,,
SkillScout,4800a,INV573,,,
Bomoz,325d,INV596,,,
Outspire Foundry,501c,INV413,,,
TrackPaw Scientific AB,325d,INV597,,,
StockRx,501c,INV588,,,
L.E.K. Consulting,501c,INV586,,,
Verhaert | Masters in Innovation,501c,INV401,,,
Volund Consulting,4800a,INV521,,,
Teshome Alliance,501c,INV420,,,
Riviera Radio,501c,INV445,,,
Aesthetic Matrix,325d,INV464,,,
AccelerateurM,325d,INV549,,,
Trazas,501c,INV491,,,
Glaz Enr,325d,INV431,,,
Brainstorm Newsletter,4800a,INV524,,,
Homaio,4800a,INV497,,,
Gunna Drinks Ltd,4800a,INV408,,,
Optistream,4800a,INV492,,,
Woodpecker.co,325d,INV544,,,
Green Heart Collective,325d,INV523,,,
Studio Lior,501c,INV575,,,
Oxford Venture Capital Network,501c,INV546,,,
Matching (Data for Finance),501c,INV527,,,
McKinsey & Company,4800a,INV449,,,
Womco,4800a,INV407,,,
L'Étincelle,501c,INV600,,,
Suplient,501c,INV581,,,
Sēve,501c,INV586,,,
Energy Volunteers,501c,INV460,,,
Goldman Sachs,4800a,INV446,,,
Blue Ocean Entrepreneurs,501c,INV488,,,
Cap Grandes Ecoles,501c,INV434,,,
London Business School,501c,INV559,,,
Re:Co,325d,INV580,,,
Cambra de Barcelona,501c,INV454,,,
Surfboard,325d,INV447,,,
Cobrief,4800a,INV425,,,
22h22advisor,325d,INV599,,,
Dune Street Ventures,4800a,INV430,,,
HOOP INDUSTRIES LTD,501c,INV469,,,
DutyFinland,501c,INV485,,,
HyLight,325d,INV487,,,
Digital Industrial Modules - DIM,325d,INV529,,,
Envar Entertainment,4800a,INV555,,,
4Elements,4800a,INV458,,,
ICBRG,325d,INV405,,,
Kidigeek ,501c,INV540,,,
MAIKERS INSTITUTE,4800a,INV545,,,
Morgan Stanley,501c,INV482,,,
Hanki.app,501c,INV563,,,
Code Anyway (Techstars '23),4800a,INV451,,,
Klineo,4800a,INV492,,,
Orus Energy,4800a,INV572,,,
Africa United Corporation,501c,INV449,,,
Soupir,325d,INV579,,,
Children's Investment Fund Foundation (CIFF),501c,INV538,,,
We Sit,4800a,INV414,,,
Umain,501c,INV470,,,
FractalMind AI,4800a,INV420,,,
AISFOR_____,4800a,INV524,,,
BSKManagement,501c,INV407,,,
Ted's Health,325d,INV522,,,
THE AIGENCY,4800a,INV475,,,
Intergrid,501c,INV564,,,
Leasi,501c,INV449,,,
Lagom,501c,INV572,,,
Malt,4800a,INV450,,,
Bonne table,4800a,INV471,,,
AutogenAI,4800a,INV449,,,
hypesetters,4800a,INV595,,,
Cambridge Intelligence,325d,INV482,,,
Tjommi,325d,INV407,,,
Your Speech Factory,325d,INV490,,,
Temple,501c,INV465,,,
Impact Imagery,325d,INV450,,,
Coiniverse,501c,INV595,,,
natify agency,4800a,INV500,,,
Entracte,501c,INV446,,,
FD Technologies,4800a,INV589,,,
eComID,325d,INV436,,,
B3 Secure,325d,INV600,,,
WILLA,501c,INV543,,,
Maison Gabia,501c,INV565,,,
KAIKAKU,325d,INV538,,,
Sphaira Innovation,501c,INV486,,,
Adiuvo Energy,4800a,INV551,,,
STATION F,501c,INV511,,,
Femcare,325d,INV567,,,
SpiritMe,325d,INV506,,,
plusserver,4800a,INV563,,,
Trustle,501c,INV417,,,
Flatpay,4800a,INV528,,,
Kabn Company,4800a,INV407,,,
docTeller,501c,INV489,,,
Orus Energy,501c,INV520,,,
Humus Tourism Consultancy & Development,501c,INV509,,,
Paradox Interactive,4800a,INV470,,,
Ignota Labs,325d,INV406,,,
JUST,4800a,INV531,,,
Togggle,4800a,INV478,,,
Tailwind Biotech,501c,INV531,,,
Dubai Future District Fund,325d,INV591,,,
Hanna Larsson,501c,INV438,,,
The Real Estate Investment Academy (REIA),501c,INV444,,,
Tracebit,325d,INV459,,,
Warwickshire Walking Tours,325d,INV431,,,
TeeGo,4800a,INV523,,,
Necense,4800a,INV569,,,
Bryn Taylor,501c,INV572,,,
