Company,Type,Series,URL,B2B vs B2C,Location
Water2,325d,INV529,,,
Efficiently,325d,INV593,,,
Cession Makers,4800a,INV597,,,
OpalFlow,325d,INV425,,,
Zalmira,325d,INV539,,,
Ledgy,325d,INV482,,,
SANTAFOO,325d,INV544,,,
MyEpi,325d,INV545,,,
BecauseSheCan,501c,INV520,,,
kokpits,501c,INV446,,,
Micheli Lift Consult GmbH,325d,INV494,,,
Paraspara,501c,INV528,,,
EY,325d,INV558,,,
Orus Energy,325d,INV461,,,
TrinityHawk,501c,INV444,,,
Save the Children International,325d,INV578,,,
Biner.ai,501c,INV452,,,
Notion Capital,501c,INV502,,,
Logiadapt',501c,INV589,,,
Jadwa Investment,501c,INV516,,,
SyOps Limited,501c,INV563,,,
Mazars,325d,INV596,,,
Voicify AI,325d,INV409,,,
Fractile,4800a,INV470,,,
Wakaru,4800a,INV508,,,
illumion,4800a,INV507,,,
Ubique,501c,INV542,,,
Convention des Entreprises pour le Climat,4800a,INV585,,,
Red Rover Interactive,501c,INV424,,,
Holis.co,325d,INV573,,,
Decentralized Fund,4800a,INV573,,,
Multigate,325d,INV570,,,
CGI Business Consulting,4800a,INV590,,,
Imperial College Women & Non-Binary Individuals in Computing,4800a,INV519,,,
Boards on Fire,501c,INV505,,,
ALPConsulting,4800a,INV440,,,
PowerBlocks,325d,INV528,,,
Vinetribe,501c,INV478,,,
JULIENNE BRUNO®,501c,INV594,,,
Aira,4800a,INV515,,,
Thread Innovation,501c,INV552,,,
treefera,4800a,INV546,,,
Sentimenta.io,4800a,INV430,,,
Infor,325d,INV402,,,
Sistren,501c,INV478,,,
EY,325d,INV523,,,
COMÉTE,4800a,INV484,,,
Coiniverse,4800a,INV416,,,
Pegasus Academy,501c,INV450,,,
Stealth Startup,4800a,INV531,,,
J2-Reliance Ltd,501c,INV565,,,
MYTTRA,501c,INV425,,,
Aventus Network,325d,INV546,,,
Applai,325d,INV500,,,
New Change FX,4800a,INV586,,,
Winedrops,501c,INV445,,,
Emètis RH,501c,INV559,,,
NEOM,501c,INV437,,,
The SaaS Sales Advisor,325d,INV545,,,
Neste,325d,INV476,,,
Vasco,501c,INV446,,,
Coursensu,4800a,INV567,,,
Ambio,325d,INV417,,,
Ericsson,4800a,INV472,,,
Monster Playable,4800a,INV494,,,
Datayoyo,325d,INV593,,,
Clio,325d,INV537,,,
Knowingly,501c,INV538,,,
THIS Labs,325d,INV413,,,
Plaace,325d,INV428,,,
AIU Academy,4800a,INV534,,,
Pharmaweed Pro,501c,INV599,,,
WeCare ET,501c,INV419,,,
Azonto,501c,INV544,,,
AnnexusPartners,4800a,INV509,,,
collectivehood,4800a,INV402,,,
University of St.Gallen,325d,INV578,,,
EVolution Therapeutics,4800a,INV505,,,
Spheres,4800a,INV453,,,
H*LD Self-Storage,501c,INV542,,,
Google,4800a,INV425,,,
Uncover Consulting,4800a,INV445,,,
DolceVia,501c,INV586,,,
BetterContact,4800a,INV538,,,
FOTOVOL,501c,INV507,,,
SimFin Analytics GmbH,501c,INV600,,,
YourTutors,325d,INV513,,,
Volteras,325d,INV412,,,
CaseSnappy,4800a,INV520,,,
VVS Impact,4800a,INV417,,,
Rools,501c,INV540,,,
Onventis,4800a,INV412,,,
LSC Technologies,4800a,INV408,,,
Culinu,4800a,INV476,,,
Splore GmbH,4800a,INV432,,,
Lamisscoach®️,4800a,INV434,,,
Freemote,4800a,INV481,,,
Buoy,501c,INV530,,,
Debtist,4800a,INV445,,,
Women Empowering Defence,4800a,INV416,,,
Voltz Labs,4800a,INV443,,,
art for our sea,4800a,INV558,,,
Koodipöllö,325d,INV416,,,
Primo,501c,INV458,,,
Observe Technologies,325d,INV411,,,
Pennine Capital,325d,INV515,,,
Astris,325d,INV411,,,
NIKITO Parks,4800a,INV424,,,
Core Padel,325d,INV473,,,
Alpaca Leads,501c,INV449,,,
Inova IT,4800a,INV445,,,
Guida,501c,INV448,,,
RESTORE (Restored Land Ltd.),501c,INV479,,,
Qogita,325d,INV466,,,
Sauce Soft,4800a,INV447,,,
Modelup,325d,INV542,,,
Nullure,4800a,INV433,,,
SAFE AI NOW,501c,INV527,,,
Zing Cover,501c,INV506,,,
Resolve Sec,501c,INV508,,,
