Company,Type,Series,URL,B2B vs B2C,Location
LinkApp - Linking people together,4800a,INV413,,,
Ungana,325d,INV555,,,
WEBOAF,501c,INV422,,,
Prolong,325d,INV594,,,
Butterfly,501c,INV567,,,
Zukunftsarchitekten & Du,501c,INV594,,,
Investlingo,4800a,INV524,,,
Leja Technologies,4800a,INV484,,,
myProtocol,325d,INV543,,,
Cerbos,325d,INV554,,,
Otium Capital,501c,INV459,,,
Udviklings- og Forenklingsstyrelsen,4800a,INV536,,,
Spotify,4800a,INV506,,,
Maayan payments,4800a,INV501,,,
Welance Conseil,325d,INV503,,,
Graend by Hellon,325d,INV464,,,
Livv Health,501c,INV423,,,
Degura GmbH,325d,INV497,,,
Qonto,501c,INV473,,,
Altruistiq,325d,INV580,,,
Zonova Animal Health Ltd,325d,INV556,,,
Day1Sport Studios,4800a,INV585,,,
Stealth,325d,INV558,,,
Lulo Invest,325d,INV470,,,
Elements Talent Consultancy,325d,INV430,,,
Great Yellow,325d,INV485,,,
EchoTrade,325d,INV496,,,
Ballistic Pork,4800a,INV428,,,
Gekko,325d,INV540,,,
mote.consulting,325d,INV518,,,
remote.aero,325d,INV536,,,
TreQ,325d,INV590,,,
Entrepreneur First,501c,INV584,,,
D Agency,4800a,INV478,,,
Orbitti Oy,4800a,INV414,,,
Skyra.no,325d,INV500,,,
Orbitti Oy,4800a,INV563,,,
ODA - Women in Tech Network,4800a,INV436,,,
Rebrew,325d,INV539,,,
Studio Fugu,501c,INV569,,,
Oma Care,325d,INV502,,,
Somnology,501c,INV480,,,
The Gang,4800a,INV416,,,
HashblockResearch,4800a,INV422,,,
Tilt,4800a,INV505,,,
Osirion,4800a,INV563,,,
Ember Paw Games,4800a,INV502,,,
BiteLabs Healthtech,501c,INV534,,,
ICARE,4800a,INV499,,,
Infusee,325d,INV453,,,
Carpoll,325d,INV513,,,
Tangent,4800a,INV529,,,
Sana,325d,INV523,,,
Promaps Technology AS,501c,INV407,,,
Bowld,4800a,INV440,,,
S+SWLAB,4800a,INV585,,,
Dattak,501c,INV580,,,
Spindogs,325d,INV465,,,
NICE RICE,325d,INV540,,,
akirolabs,4800a,INV523,,,
Orb,325d,INV429,,,
The Trailblazer,4800a,INV537,,,
Squarelia,4800a,INV533,,,
impactify,4800a,INV413,,,
mkodo,4800a,INV448,,,
Ascend Ventures,501c,INV526,,,
Enpal,325d,INV497,,,
BlueStone Partners,4800a,INV502,,,
Backstop Solutions Group,501c,INV552,,,
CAVE Conference,325d,INV440,,,
Quick,501c,INV475,,,
Tarleton Communications,4800a,INV527,,,
Requesty,501c,INV437,,,
Feldwerke,4800a,INV417,,,
RE.avecvous,325d,INV475,,,
Zoe Care,4800a,INV585,,,
Aliya Capital,4800a,INV483,,,
branchly,4800a,INV517,,,
Sania Therapeutics,325d,INV483,,,
MULTIOWL UG (haftungsbeschränkt),4800a,INV434,,,
HyLight,325d,INV479,,,
Kotini,325d,INV537,,,
phospho,4800a,INV526,,,
EOS EXPORT,325d,INV476,,,
Finastra,501c,INV518,,,
Code of Alfred,4800a,INV452,,,
The Cambridge Tutor,325d,INV454,,,
Retactic,4800a,INV409,,,
Pactio,4800a,INV435,,,
Morgan Stanley,4800a,INV465,,,
House Service App,325d,INV547,,,
Jinko,325d,INV561,,,
zinehub,325d,INV525,,,
Spellz,4800a,INV497,,,
Phase Space Ltd,325d,INV406,,,
Fjordblock,4800a,INV417,,,
DeltaFact ApS,501c,INV539,,,
YIELD STUDIO,4800a,INV525,,,
Travel Differently Ltd,4800a,INV506,,,
AAWE,4800a,INV457,,,
