Company,Type,Series,URL,B2B vs B2C,Location
ekonoo,4800a,INV483,,,
Gridicity,4800a,INV457,,,
McKinsey & Company,501c,INV416,,,
Stealth Fintech,325d,INV491,,,
Nordat.ai,4800a,INV557,,,
Chorus Capital,4800a,INV581,,,
Zanista.AI,4800a,INV528,,,
Les Ateliers digitaux Eazannadje,501c,INV486,,,
AlphaGrowth_xyz,4800a,INV494,,,
Nifby,325d,INV475,,,
TinkerIT,4800a,INV425,,,
Bit & Dat,501c,INV420,,,
Green Legacy,325d,INV419,,,
Animaj,4800a,INV482,,,
Beekle,4800a,INV507,,,
Code of Alfred,501c,INV532,,,
Prisma Advisory,4800a,INV482,,,
Otsuka Pharmaceutical Companies (U.S.),325d,INV589,,,
Surfy°,4800a,INV484,,,
impactify,501c,INV599,,,
NOWLE,4800a,INV448,,,
Effective Change,501c,INV487,,,
Pasyc,325d,INV426,,,
Jagtbasen,325d,INV597,,,
CAMELOT Management Consultants,4800a,INV529,,,
Oxford Founders Society,325d,INV568,,,
Eagle Solutions,325d,INV445,,,
CAPSMARK,4800a,INV508,,,
BeWe,501c,INV545,,,
Akari Trading,501c,INV520,,,
Arctic Animal Oy,501c,INV505,,,
twig,501c,INV471,,,
HSO,4800a,INV516,,,
MCD Capital,4800a,INV445,,,
Tacto,325d,INV561,,,
muchbetter,325d,INV445,,,
aLp. Consulting,325d,INV525,,,
Antler,325d,INV536,,,
Spheres,4800a,INV444,,,
fuse,325d,INV478,,,
Dhala Cyberdéfense - Partenaire Cybersécurité des PME.,325d,INV449,,,
plinth,501c,INV507,,,
Boxio.ai,501c,INV481,,,
Ripple,325d,INV557,,,
Gallant Finland,4800a,INV600,,,
ECEMA,501c,INV487,,,
Antler,4800a,INV588,,,
FBS-Systems,325d,INV456,,,
Victeris,501c,INV492,,,
WeVee® Technologies Ltd,325d,INV560,,,
NOCHES AI,325d,INV432,,,
TastyUrban,325d,INV527,,,
Restart Career GmbH,325d,INV420,,,
Compass Labs,501c,INV512,,,
University of Oxford,325d,INV573,,,
Quantum Gnomes,4800a,INV557,,,
Berry Health,325d,INV426,,,
MAISON MAG,325d,INV424,,,
AdScribe,501c,INV506,,,
Airwallet,501c,INV466,,,
dotflow,325d,INV577,,,
Packar,325d,INV500,,,
AFL Diversity,325d,INV526,,,
Exevion,4800a,INV547,,,
Atiom,501c,INV590,,,
Futurice,325d,INV414,,,
Ashore,325d,INV529,,,
Talent Seed,325d,INV578,,,
London Blockchain Labs (LBL),501c,INV419,,,
Entrepreneur First,325d,INV552,,,
elsa.care,501c,INV400,,,
SquirrelAI,325d,INV447,,,
Golden Bonsai GmbH,501c,INV403,,,
Equinoxe,501c,INV512,,,
Junction,501c,INV488,,,
Otto,501c,INV593,,,
